latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.66012,133.94154,324.01,2.48,1.52,2022-04-03,0050,T,64,6.1NRT,300.63,43.87,D
-13.664,133.96411,320.57,2.47,1.51,2022-04-03,0050,T,31,6.1NRT,300.32,30.69,D
-13.7142,134.3511,321.52,2.29,1.47,2022-04-03,0050,T,59,6.1NRT,302.9,23.8,D
-13.73847,134.41141,321.92,2.27,1.46,2022-04-03,0050,T,64,6.1NRT,303.02,25.02,D
-13.66699,133.9342,320.21,2.48,1.52,2022-04-03,0050,T,69,6.1NRT,299.1,32.15,D
-13.67103,133.95674,322.71,2.47,1.51,2022-04-03,0050,T,73,6.1NRT,299.61,41.49,D
-13.82111,134.72946,319.79,2.14,1.42,2022-04-03,0050,T,54,6.1NRT,302.4,19.66,D
-13.75927,134.29959,317.4,2.31,1.47,2022-04-03,0050,T,62,6.1NRT,302.35,15.52,D
-13.76293,134.3205,317.86,2.3,1.47,2022-04-03,0050,T,48,6.1NRT,302.18,14.97,D
-13.75026,134.0114,316.04,2.44,1.51,2022-04-03,0050,T,59,6.1NRT,301.26,19.33,D
-13.80772,134.28357,320.17,2.31,1.47,2022-04-03,0050,T,69,6.1NRT,303.34,21.3,D
-13.78491,133.76329,317.82,2.54,1.53,2022-04-03,0050,T,64,6.1NRT,300.29,27.46,D
-13.85346,133.91568,321.82,2.47,1.51,2022-04-03,0050,T,62,6.1NRT,299.22,30.33,D
-13.85732,133.93828,319.57,2.46,1.51,2022-04-03,0050,T,21,6.1NRT,300.36,22.19,D
-13.85112,133.93362,318.73,2.46,1.51,2022-04-03,0050,T,26,6.1NRT,300.88,22.47,D
-13.93075,133.86534,317.22,2.48,1.52,2022-04-03,0050,T,62,6.1NRT,300.92,22.73,D
-14.17415,134.17751,317.59,2.32,1.47,2022-04-03,0050,T,61,6.1NRT,302.24,17.96,D
-15.41348,131.36206,319.35,3.57,1.77,2022-04-03,0050,T,55,6.1NRT,297.78,57.51,D
-16.13351,135.02171,330.05,1.84,1.33,2022-04-03,0050,T,71,6.1NRT,304.28,37.26,D
-16.15444,135.0006,324,1.85,1.33,2022-04-03,0050,T,35,6.1NRT,305.24,16.32,D
-16.14157,135.03087,325.23,1.83,1.33,2022-04-03,0050,T,51,6.1NRT,304.96,23.06,D
-16.17427,135.00777,324.64,1.84,1.33,2022-04-03,0050,T,40,6.1NRT,305.53,22.27,D
-16.17117,134.91943,324.16,1.87,1.34,2022-04-03,0050,T,63,6.1NRT,305.04,19.21,D
-15.75276,129.72491,319.3,4.64,1.97,2022-04-03,0050,T,60,6.1NRT,305.98,79.68,D
-17.62546,137.29135,336.77,1.23,1.1,2022-04-03,0050,T,83,6.1NRT,307.24,33.22,D
-17.65977,137.50694,336.02,1.2,1.09,2022-04-03,0050,T,83,6.1NRT,307.08,31.73,D
-17.69554,137.34331,337.76,1.22,1.1,2022-04-03,0050,T,84,6.1NRT,309.06,31.14,D
-17.69738,137.35469,328.49,1.22,1.1,2022-04-03,0050,T,10,6.1NRT,308.91,13.39,D
-17.70539,137.3416,331.46,1.22,1.1,2022-04-03,0050,T,50,6.1NRT,307.75,20.96,D
-17.72946,137.30202,344.48,1.23,1.1,2022-04-03,0050,T,90,6.1NRT,306.15,54.59,D
-17.7295,137.29593,336.73,1.23,1.1,2022-04-03,0050,T,83,6.1NRT,304.49,35.92,D
-17.73138,137.30737,342.11,1.22,1.1,2022-04-03,0050,T,88,6.1NRT,306.6,47.71,D
-17.74124,137.30569,336.57,1.22,1.1,2022-04-03,0050,T,83,6.1NRT,306.7,35.06,D
-18.90093,138.49339,322.2,1.06,1.03,2022-04-03,0050,T,45,6.1NRT,307.95,6.16,D
-18.90247,138.50337,325.88,1.06,1.03,2022-04-03,0050,T,65,6.1NRT,307.79,10.59,D
-18.21051,129.97894,317.85,3.95,1.85,2022-04-03,0050,T,22,6.1NRT,305.78,31.16,D
-18.33917,130.28633,327.5,3.73,1.81,2022-04-03,0050,T,74,6.1NRT,306.76,88.16,D
-18.34601,130.27922,328.26,3.73,1.81,2022-04-03,0050,T,76,6.1NRT,306.13,95.21,D
-18.41539,129.99707,331.24,3.9,1.84,2022-04-03,0050,T,80,6.1NRT,305.79,121.65,D
-18.40424,129.99371,326.82,3.9,1.84,2022-04-03,0050,T,74,6.1NRT,307.52,80.87,D
-18.41176,130.02997,323.65,3.87,1.83,2022-04-03,0050,T,66,6.1NRT,306.93,52.52,D
-18.50236,129.97131,323.77,3.9,1.84,2022-04-03,0050,T,61,6.1NRT,306.14,68.24,D
-18.54424,129.92351,332.13,3.92,1.84,2022-04-03,0050,T,81,6.1NRT,304.66,147.2,D
-18.5071,129.96268,320.91,3.9,1.84,2022-04-03,0050,T,37,6.1NRT,305.99,46.31,D
-18.54879,129.91508,327.38,3.92,1.84,2022-04-03,0050,T,75,6.1NRT,303.93,106.29,D
-18.55621,129.95168,318.07,3.9,1.84,2022-04-03,0050,T,41,6.1NRT,304.37,37.88,D
-22.41969,132.07677,316.27,2.26,1.46,2022-04-03,0052,T,14,6.1NRT,301.24,17.95,D
-22.43266,132.07384,319.02,2.26,1.46,2022-04-03,0052,T,53,6.1NRT,303.7,26.83,D
-22.64796,131.76846,319.13,2.35,1.48,2022-04-03,0052,T,61,6.1NRT,302.96,26.59,D
-26.46336,149.29866,311.3,4.19,1.9,2022-04-03,0052,T,48,6.1NRT,290.65,44.54,D
-26.46564,149.29285,312.76,4.19,1.9,2022-04-03,0052,T,56,6.1NRT,290.99,53.11,D
-30.59286,146.80524,322.12,3.11,1.67,2022-04-03,0052,T,58,6.1NRT,299.08,61.78,D
-30.5903,146.80019,321.32,3.11,1.67,2022-04-03,0052,T,73,6.1NRT,299.48,65.66,D
-31.69506,145.96332,344.58,2.8,1.6,2022-04-03,0054,T,92,6.1NRT,301.35,200.42,D
