latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
45.25431,29.70414,300.96,1.03,1.01,2022-03-28,0005,A,36,6.1NRT,270.07,10.04,N
45.14546,29.4883,303.64,1.04,1.02,2022-03-28,0005,A,56,6.1NRT,271.71,11.46,N
45.14373,29.50133,324.77,1.04,1.02,2022-03-28,0005,A,100,6.1NRT,269.44,29.82,N
45.13468,29.49897,344.25,1.04,1.02,2022-03-28,0005,A,100,6.1NRT,273.29,58.26,N
45.13295,29.51198,338.78,1.04,1.02,2022-03-28,0005,A,100,6.1NRT,271.68,48.36,N
29.82026,31.2223,300.1,1.47,1.2,2022-03-28,0009,A,17,6.1NRT,282.13,12.34,N
-7.22448,18.97312,308.74,1.02,1.01,2022-03-28,0020,A,75,6.1NRT,285.72,9.64,N
-7.84275,12.10802,307.18,2.01,1.38,2022-03-28,0020,A,52,6.1NRT,278.73,19.55,N
-7.84567,12.12602,305.37,2,1.38,2022-03-28,0020,A,29,6.1NRT,279.07,16.54,N
10.74008,23.02102,305.97,1.03,1.01,2022-03-28,0016,A,66,6.1NRT,292.9,7.47,N
10.58486,19.71578,311.53,1.14,1.06,2022-03-28,0016,A,83,6.1NRT,291.85,13.09,N
10.58342,19.72607,325.01,1.14,1.06,2022-03-28,0016,A,100,6.1NRT,293.13,27.41,N
10.58198,19.73636,321.28,1.14,1.06,2022-03-28,0016,A,100,6.1NRT,292.01,22.65,N
10.58054,19.74664,303.97,1.14,1.06,2022-03-28,0016,A,58,6.1NRT,290.56,6.53,N
10.57104,19.7453,302.78,1.14,1.06,2022-03-28,0016,A,48,6.1NRT,291.29,5.79,N
8.96243,28.43797,314.68,2.36,1.48,2022-03-28,0016,A,90,6.1NRT,281.74,54.92,N
8.94907,28.4522,300.49,2.37,1.49,2022-03-28,0016,A,29,6.1NRT,281.24,21.17,N
10.3304,16.1356,305.23,1.96,1.37,2022-03-28,0016,A,63,6.1NRT,293.42,15.17,N
7.25599,30.202,300.22,3.49,1.76,2022-03-28,0016,A,22,6.1NRT,286.2,27.75,N
8.31231,22.79188,300.23,1.05,1.02,2022-03-28,0016,A,22,6.1NRT,289.21,5.15,N
6.29902,29.91015,300.03,3.45,1.75,2022-03-28,0018,A,5,6.1NRT,288.09,17.57,N
6.28347,29.90759,326.6,3.45,1.75,2022-03-28,0018,A,100,6.1NRT,289.69,144.17,N
6.28797,29.9033,320.45,3.45,1.75,2022-03-28,0018,A,100,6.1NRT,289.42,106.7,N
6.27241,29.90075,318.16,3.45,1.75,2022-03-28,0018,A,96,6.1NRT,289.3,93.83,N
6.26738,29.93146,304.39,3.47,1.75,2022-03-28,0018,A,55,6.1NRT,288.64,34.21,N
6.50729,24.42859,301.8,1.31,1.14,2022-03-28,0018,A,44,6.1NRT,288.85,6.89,N
6.42296,24.37401,302.51,1.31,1.13,2022-03-28,0018,A,16,6.1NRT,290.96,6.28,N
-4.50653,12.06033,303.84,2.33,1.48,2022-03-28,0020,A,42,6.1NRT,273.19,22.56,N
-4.51466,12.05172,301.59,2.33,1.48,2022-03-28,0020,A,42,6.1NRT,275.36,20.67,N
28.78757,22.46333,300.01,1.31,1.14,2022-03-28,0009,A,7,6.1NRT,279.15,11.83,N
