"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","2021-07-01",,"61","53"
"USW00025333","SITKA AIRPORT, AK US","2021-07-02",,"60","52"
"USW00025333","SITKA AIRPORT, AK US","2021-07-03",,"66","54"
"USW00025333","SITKA AIRPORT, AK US","2021-07-04",,"60","55"
"USW00025333","SITKA AIRPORT, AK US","2021-07-05",,"65","55"
"USW00025333","SITKA AIRPORT, AK US","2021-07-06",,"59","54"
"USW00025333","SITKA AIRPORT, AK US","2021-07-07",,"58","53"
"USW00025333","SITKA AIRPORT, AK US","2021-07-08",,"58","53"
"USW00025333","SITKA AIRPORT, AK US","2021-07-09",,"57","53"
"USW00025333","SITKA AIRPORT, AK US","2021-07-10",,"60","51"
"USW00025333","SITKA AIRPORT, AK US","2021-07-11",,"60","51"
"USW00025333","SITKA AIRPORT, AK US","2021-07-12",,"60","54"
"USW00025333","SITKA AIRPORT, AK US","2021-07-13",,"57","52"
"USW00025333","SITKA AIRPORT, AK US","2021-07-14",,"58","51"
"USW00025333","SITKA AIRPORT, AK US","2021-07-15",,"60","50"
"USW00025333","SITKA AIRPORT, AK US","2021-07-16",,"61","54"
"USW00025333","SITKA AIRPORT, AK US","2021-07-17",,"63","56"
"USW00025333","SITKA AIRPORT, AK US","2021-07-18",,"63","57"
"USW00025333","SITKA AIRPORT, AK US","2021-07-19",,"70","55"
"USW00025333","SITKA AIRPORT, AK US","2021-07-20",,"64","56"
"USW00025333","SITKA AIRPORT, AK US","2021-07-21",,"59","54"
"USW00025333","SITKA AIRPORT, AK US","2021-07-22",,"63","55"
"USW00025333","SITKA AIRPORT, AK US","2021-07-23",,"61","56"
"USW00025333","SITKA AIRPORT, AK US","2021-07-24",,"58","54"
"USW00025333","SITKA AIRPORT, AK US","2021-07-25",,"59","52"
"USW00025333","SITKA AIRPORT, AK US","2021-07-26",,"64","49"
"USW00025333","SITKA AIRPORT, AK US","2021-07-27",,"62","57"
"USW00025333","SITKA AIRPORT, AK US","2021-07-28",,"70","52"
"USW00025333","SITKA AIRPORT, AK US","2021-07-29",,"70","52"
"USW00025333","SITKA AIRPORT, AK US","2021-07-30",,"73","60"
"USW00025333","SITKA AIRPORT, AK US","2021-07-31",,"66","48"
