"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08","WT09"
"USW00025333","SITKA AIRPORT, AK US","2021-01-01","8.72"," 0411","0.01",,"44","40","  110","  110","21.0","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-02","7.61"," 0421","0.07",,"44","35","  110","  100","23.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-03","6.71"," 1506","0.29",,"43","36","  230","  220","23.9","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-04","15.88"," 0440","0.25",,"45","39","  110","   90","31.1","42.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-05","19.24"," 1321","0.57",,"45","40","  170","  190","45.0","65.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-06","12.97"," 0955","0.24",,"44","39","  110","  190","21.0","30.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-07","19.24"," 0711","0.07",,"48","42","  110","  130","33.1","44.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-08","10.74"," 1520","0.32",,"48","37","  290","  290","29.1","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-09","19.01"," 1354","0.00",,"46","38","  110","  120","33.1","45.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-10","16.55"," 0155","0.76",,"46","41","  120","  110","33.1","42.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-11","12.08"," 0439","0.37",,"44","38","  190","  190","23.0","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-12","13.42"," 1037","0.46",,"44","34","  220","  230","36.0","45.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-13","6.93"," 0623","0.89",,"39","34","   90","  130","14.1","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-14","20.58"," 1630","0.53",,"47","37","  100","   90","36.0","50.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-15","14.76"," 0418","0.79",,"48","41","  170","  170","36.0","47.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-16","17.22"," 1406","0.31",,"47","42","  110","  110","32.0","42.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-17","9.62"," 0517","0.46",,"46","39","  220","  220","23.0","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-18","17.22"," 1610","1.50",,"48","41","  150","  160","36.9","51.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-19","11.63"," 0205","0.29",,"42","36","  260","  260","31.1","42.9",,,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-01-20","2.91"," 0517","0.02",,"38","36","  100","   80","8.1","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-21","3.58"," 1602","0.01",,"41","34","   10","   10","14.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-22","2.91"," 1151","0.01",,"40","34","  310","   80","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-23","4.70"," 1534","0.29",,"38","35","  100","  110","15.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-24","3.58"," 1000","0.01",,"39","30","  320","  320","8.9","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-25","2.01"," 0537","0.00",,"37","28","  330","  330","8.1","8.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-26","3.36"," 1307","0.00",,"36","24","  340","  330","15.0","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-27","4.70"," 1500","0.00",,"30","23","   80","   80","13.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-28","8.50"," 2353","0.00",,"36","22","  110","  100","23.0","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-29","16.78"," 0100","0.00",,"40","33","  110","  100","25.1","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-30","8.05"," 0017","0.00",,"42","33","  120","  120","19.9","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-01-31","3.36"," 1121","0.00",,"43","29","  320","  330","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-01","7.83"," 1030","0.17",,"38","31","  110","  130","17.0","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-02","5.82"," 0234","0.00",,"38","29","  100","  110","18.1","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-03","6.93"," 1432","0.44",,"40","33","  100","  100","14.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-04","6.93"," 1601","0.00",,"39","34","  330","  330","21.9","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-05","4.03"," 1331","0.17",,"37","34","  110","  110","8.9","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-06","5.82"," 1407","0.00",,"37","29","  330","  330","21.9","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-07","6.93"," 2206","0.00",,"36","27","  110","  100","18.1","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-08","12.30"," 0938","0.01",,"30","16","  100","  100","23.0","36.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-09","10.74"," 1551","0.00",,"17","13","  110","  120","21.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-10","4.03"," 2359","0.00",,"30","12","   80","   70","13.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-11","9.62"," 0058","0.00",,"37","24","  100","   90","25.1","36.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-12","10.07"," 0624","0.00",,"39","29","   90","  100","23.9","33.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-13","5.82"," 2156","0.00",,"38","26","  100","  100","14.1","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-14","5.82"," 1536","0.00",,"37","30","  110","  110","16.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-15","4.03"," 1734","0.00",,"35","26","  320","  310","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-16","4.92"," 1935","0.17",,"38","29","   90","   80","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-17","10.51"," 2347","0.00",,"43","34","  100","  100","21.9","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-18","20.80"," 0517","0.33",,"43","38","  110","  110","31.1","49.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-19","18.57"," 0810","0.60",,"42","31","  250","  230","35.1","44.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-20","14.76"," 1109","1.44",,"44","31","  110","  100","25.1","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-21","15.21"," 0410","0.43",,"44","37","  260","  230","29.1","38.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-22","10.29"," 1849","0.82",,"42","33","  260","  250","25.1","31.1",,,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-02-23","6.71"," 0250","0.07",,"38","32","  290","  290","21.9","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-24","15.88"," 1524","0.04",,"39","34","  110","  120","30.0","44.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-25","14.32"," 1318","0.42",,"42","35","  290","  300","32.0","40.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-26","7.38"," 0121","0.03",,"43","37","  310","  290","25.1","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-27","11.18"," 2058","1.45",,"44","36","  100","  100","17.0","23.0","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-02-28","16.78"," 1244","0.93",,"45","34","  210","  220","29.1","40.0","    1",,"    1",,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-03-01","13.65"," 1113","0.47",,"41","34","  220","  220","28.0","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-02","8.95"," 0618","0.63",,"41","33","  240","  240","21.9","28.0",,,,"    1","    1",
"USW00025333","SITKA AIRPORT, AK US","2021-03-03","7.38"," 1129","0.20",,"41","32","  110","  110","21.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-04","5.82"," 2014","0.07",,"43","33","  110","  110","17.0","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-05","12.30"," 1133","0.35",,"43","36","  130","  130","25.9","32.0","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-06","8.72"," 1802","0.01",,"43","35","  110","  100","17.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-07","3.80"," 0207","0.00",,"47","38","  330","  100","12.1","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-08","4.47"," 0349","0.28",,"40","30","  330","  330","15.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-09","6.26"," 1612","0.00",,"41","28","  320","  320","18.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-10","9.62"," 2325","0.15",,"40","36","  180","  190","23.0","32.0","    1",,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-03-11","9.62"," 0246","0.08",,"41","32","  250","  250","23.9","30.0","    1",,,,"    1","    1"
"USW00025333","SITKA AIRPORT, AK US","2021-03-12","6.49"," 0752","0.10",,"37","29","  330","  170","15.0","21.0","    1",,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-03-13","12.08"," 0745","0.00",,"35","27","  330","  330","21.9","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-14","8.05"," 2355","0.00",,"34","23","  100","  100","23.0","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-15","16.11"," 0521","1.77",,"40","32","  100","  110","29.1","36.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-16","9.17"," 2050","0.21",,"42","33","  110","  100","23.9","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-17","19.01"," 1110","0.07",,"43","35","  160","  150","42.9","69.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-18","6.71"," 2331","0.00",,"40","31","  110","  110","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-19","8.50"," 1328","0.24",,"37","30","  230","  280","25.9","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-20","13.20"," 1813","0.00",,"39","29","  100","  100","23.9","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-21","8.05"," 0049","0.53",,"43","35","  110","  120","21.9","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-22","7.38"," 0018","0.22",,"42","36","  250","  180","18.1","27.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-23","9.40"," 0431","0.92",,"42","37","  100","  110","23.9","30.0","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-24","10.96"," 0756","0.20",,"40","36","  290","  300","23.9","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-25","6.04"," 2129","0.21",,"41","35","  220","  230","15.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-26","5.59"," 0123","0.52",,"42","35","  220","  220","13.0","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-27","6.93"," 1907","0.56",,"39","32","  290","  300","30.0","35.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-28","10.07"," 1023","0.01",,"41","31","  320","  330","21.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-29","6.93"," 2234","0.47",,"41","32","  250","  260","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-30","12.30"," 1703","0.83",,"41","37","  190","  210","23.9","32.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-03-31","10.07"," 0044","1.18",,"41","33","  180","  160","23.9","34.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-01","8.28"," 2152","0.28",,"36","31","  120","  110","18.1","25.1",,,,,,"    1"
"USW00025333","SITKA AIRPORT, AK US","2021-04-02","7.16"," 0247","0.13",,"38","33","  110","  100","23.0","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-03","4.25"," 1538","0.10",,"41","32","  300","  230","10.1","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-04","8.50"," 2344","0.19",,"41","35","  230","  200","16.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-05","8.05"," 0058","0.71",,"40","34","  230","  210","17.0","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-06","5.59"," 0356","0.17",,"38","32","  250","  260","15.0","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-07","7.61"," 1711","0.00",,"41","30","  320","  220","19.9","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-08","16.11"," 2205","0.59",,"39","31","  230","  230","33.1","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-09","8.05"," 0136","0.26",,"39","32","  230","  240","21.9","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-10","5.82"," 1050","0.08",,"36","30","  300","  300","19.9","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-11","5.37"," 2313","0.00",,"41","31","  120","  120","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-12","11.41"," 2237","0.12",,"41","37","  110","  110","18.1","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-13","14.76"," 0421","0.31",,"45","39","  110","  100","23.9","30.0","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-14","6.71"," 0435","0.06",,"45","40","  110","  100","14.1","18.1",,,,,,
